character,dialogue,episode
THREEPIO,Did you hear that  Theyve shut down the main reactor.  Well be destroyed for sure.  This is madness,episode IV
THREEPIO,Were doomed,episode IV
THREEPIO,Therell be no escape for the Princess this time.,episode IV
THREEPIO,Whats that,episode IV
THREEPIO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...,episode IV
LUKE,Hurry up  Come with me  What are you waiting for  Get in gear,episode IV
THREEPIO,"Artoo Artoo-Detoo, where are you",episode IV
THREEPIO,At last  Where have you been,episode IV
THREEPIO,Theyre heading in this direction. What are we going to do  Well be sent to the spice mines of Kessel or smashed into who knows what,episode IV
THREEPIO,"Wait a minute, where are you going",episode IV
IMPERIAL OFFICER,The Death Star plans are not in the main computer.,episode IV
VADER,Where are those transmissions you intercepted,episode IV
REBEL OFFICER,We intercepted no transmissions. Aaah...  This is a consular ship. Were on a diplomatic mission.,episode IV
VADER,If this is a consular ship... where is the Ambassador,episode IV
VADER,"Commander, tear this ship apart until youve found those plans and bring me the Ambassador.  I want her alive",episode IV
TROOPER,There she is Set for stun,episode IV
TROOPER,Shell be all right. Inform Lord Vader we have a prisoner.,episode IV
THREEPIO,"Hey, youre not permitted in there.  Its restricted. Youll be deactivated for sure..",episode IV
THREEPIO,"Dont call me a mindless philosopher, you overweight glob of grease  Now come out before somebody sees you.",episode IV
THREEPIO,Secret mission  What plans  What are you talking about  Im not getting in there,episode IV
THREEPIO,Im going to regret this.,episode IV
CHIEF PILOT,There goes another one.,episode IV
CAPTAIN,Hold your fire.  There are no life forms.  It must have been short-circuited.,episode IV
THREEPIO,"Thats funny, the damage doesnt look as bad from out here.",episode IV
THREEPIO,Are you sure this things safe,episode IV
WOMAN,Ive told you kids to slow down,episode IV
FIXER,Did I hear a young noise blast through here,episode IV
CAMIE,It was just Wormie on another rampage.,episode IV
LUKE,Shape it up you guys...  Biggs,episode IV
LUKE,I didnt know you were back  When did you get in,episode IV
BIGGS,"Just now.  I wanted to surprise you, hot shot.  I thought youd be here... certainly didnt expect you to be out working. ",episode IV
LUKE,"The Academy didnt change you much... but youre back so soon  Hey, what happened, didnt you get your commission",episode IV
BIGGS,Of course I got it.  Signed aboard The Rand Ecliptic last week.  First mate Biggs Darklighter at your service...... I just came back to say goodbye to all you unfortunate landlocked simpletons.,episode IV
LUKE,I almost forgot.  Theres a battle going on  Right here in our system.  Come and look,episode IV
DEAK,Not again  Forget it.,episode IV
LUKE,There they are,episode IV
BIGGS,"Thats no battle, hot shot... theyre just sitting there  Probably a freighter-tanker refueling.",episode IV
LUKE,But there was a lot of firing earlier...,episode IV
LUKE,"Hey, easy with those...",episode IV
CAMIE,"Dont worry about it, Wormie.",episode IV
FIXER,"I keep telling you, the Rebellion is a long way from here.  I doubt if the Empire would even fight to keep this system.  Believe me Luke, this planet is a big hunk of nothing...",episode IV
LEIA,"Lord Vader, I should have known.  Only you could be so bold.  The Imperial Senate will not sit stillfor this, when they hear youve attacked a diplomatic...",episode IV
VADER,"Dont play games with me, Your Highness.  You werent on any mercy mission this time.  You passed directly through a restricted system.  Several transmissions were beamed to this ship by Rebel spies.  I want to know what happened to the plans they sent you.",episode IV
LEIA,I dont know what youre talking about.  Im a member of the Imperial Senate on a diplomatic mission to Alderaan...,episode IV
VADER,Youre a part of the Rebel Alliance... and a traitor.  Take her away,episode IV
COMMANDER,"Holding her is dangerous.  If word of this gets out, it could generate sympathy for the Rebellion in the senate.",episode IV
VADER,I have traced the Rebel spies to her.  Now she is my only link to find their secret base,episode IV
COMMANDER,you anything.,episode IV
VADER,Leave that to me.  Send a distress signal and then inform the senate that all aboard were killed,episode IV
SECOND OFFICER,"Lord Vader, the battle station plans are not aboard this ship  And no transmissions were made.  An escape pod was jettisoned during the fighting, but no life forms were aboard.",episode IV
VADER,"She must have hidden the plans in the escape pod.  Send a detachment down to retrieve them.  See to it personally, Commander.  Therell be no one to stop us this time.",episode IV
COMMANDER,"Yes, sir.",episode IV
THREEPIO,How did I get into this mess  I really dont know how.  We seem to be made to suffer.  Its our lot in life.,episode IV
THREEPIO,Ive got to rest before I fall apart.  My joints are almost frozen. ,episode IV
THREEPIO,What a desolate place this is.,episode IV
THREEPIO,Where are you going,episode IV
THREEPIO,"Well, Im not going that way.  Its much too rocky.  This way is much easier.",episode IV
THREEPIO,What makes you think there are settlements over there,episode IV
THREEPIO,Dont get technical with me.,episode IV
THREEPIO,"What mission  What are you talking about  Ive had just about enough of you  Go that way  Youll be malfunctioning within a day, you nearsighted scrap pile",episode IV
THREEPIO,"And dont let me catch you following me begging for help, because you wont get it.",episode IV
THREEPIO,No more adventures.  Im not going that way.,episode IV
THREEPIO,"That malfunctioning little twerp.  This is all his fault  He tricked me into going this way, but hell do no better.",episode IV
THREEPIO,"Wait, whats that  A transport  Im saved",episode IV
THREEPIO,"Over here  Help  Please, help",episode IV
LUKE,"... so I cut off my power, shut down the afterburners and came in low on Deaks trail.  I was so close I thought I was going to fry my instruments. As it was I busted up the Skyhopper pretty bad.  Uncle Owen was pretty upset.  He grounded me for the rest of the season.  You should have been there... it was fantastic.",episode IV
BIGGS,"You ought to take it a little easy Luke.  You may be the hottest bushpilot this side of Mos Eisley, but those little Skyhoppers are dangerous.  Keep it up, and one day, whammo, youre going to be nothing more than a dark spot on the down side of a canyon wall.",episode IV
LUKE,Look whos talking.  Now that youve been around those giant starships youre beginning to sound like my uncle. Youve gotten soft in the city...,episode IV
BIGGS,Ive missed you kid.,episode IV
LUKE,"Well, things havent been the same since you left, Biggs.  Its been so...quiet.",episode IV
BIGGS,"Luke, I didnt come back just to say goodbye...  I shouldnt tell you this, but youre the only one I can trust... and if I dont come back, I want somebody to know.",episode IV
LUKE,What are you talking about,episode IV
BIGGS,"I made some friends at the Academy. ... when our frigate goes to one of the central systems, were going to jump ship and join the Alliance...",episode IV
LUKE,Join the Rebellion  Are you kidding  How,episode IV
BIGGS,Quiet down will ya  You got a mouth bigger than a meteor crater,episode IV
